State,Electric (EV),Plug-In Hybrid Electric (PHEV),Hybrid Electric (HEV),Biodiesel,Ethanol/Flex (E85),Compressed Natural Gas (CNG),Propane,Hydrogen,Methanol,Gasoline,Diesel,Unknown Fuel,Year
Utah,5600,3400,40900,0,214100,9700,0,0,0,2221100,173700,36600,2018
Vermont,1100,2000,12600,0,57500,600,0,0,0,513600,19100,7700,2018
Virginia,9900,8100,141300,0,569100,15100,0,0,0,6721800,173400,55800,2018
Washington,30200,13700,177800,0,387400,21400,0,0,0,5608000,295400,110600,2018
West Virginia,200,500,10100,0,172900,3500,0,0,0,1256800,54700,16500,2018
Wisconsin,3700,4500,70900,0,696300,11400,0,0,0,4515800,162500,47100,2018
Wyoming,200,200,4100,0,71500,4200,0,0,0,450100,72900,20400,2018
Alabama,2000,1800,33700,0,543900,15900,0,0,0,3806700,144900,44300,2019
Alaska,700,400,5800,0,64000,3200,0,0,0,473700,40100,14600,2019
Arizona,19500,9600,108100,0,571500,14300,0,0,0,5186900,208800,99000,2019
Arkansas,900,1000,21100,0,383000,8000,0,0,0,2059000,105200,16700,2019
California,349700,247300,1154200,0,1698700,76200,0,12700,300,29210100,785800,136900,2019
Colorado,19200,9300,92400,0,447700,12600,0,0,0,4347900,246700,73600,2019
Connecticut,6900,5700,47400,0,196800,2300,0,0,0,2632800,53100,27700,2019
Delaware,1300,1300,13200,0,85500,1000,0,0,0,768600,17200,6800,2019
District of Columbia,1800,1300,13700,0,22500,200,0,0,0,286300,2400,1100,2019
Florida,40300,20400,235300,0,1486600,14200,0,0,0,14726700,408500,139200,2019
Georgia,19000,8400,101800,0,890400,22000,0,0,0,7552700,237500,101800,2019
Hawaii,8800,2900,25800,0,55600,1000,0,0,0,970900,17900,6800,2019
Idaho,1600,1500,21900,0,148600,10500,0,0,0,1453500,147200,25500,2019
Illinois,19300,11600,177300,0,1153600,13400,0,0,0,8665900,209000,98000,2019
Indiana,5100,4700,68900,0,745100,14500,0,0,0,4887900,175900,70700,2019
Iowa,1600,2400,33100,0,448900,10200,0,0,0,2397900,120300,71000,2019
Kansas,2300,2100,31700,0,313500,11300,0,0,0,2094100,98800,29500,2019
Kentucky,1900,1800,38000,0,442000,12000,0,0,0,3309900,129100,38900,2019
Louisiana,1400,1000,19800,0,554400,8500,0,0,0,3030400,162300,30800,2019
Maine,1300,2200,20600,0,141300,1300,0,0,0,1002000,32500,11200,2019
Maryland,13200,10000,100700,0,400600,4400,0,0,0,4068900,107000,39400,2019
Massachusetts,14100,12900,112400,0,400100,2300,0,0,0,4613000,72600,36800,2019
Michigan,6600,12400,86500,0,1353800,13100,0,0,0,6786400,224900,67800,2019
Minnesota,7700,5800,77400,0,704600,10100,0,0,0,4174400,155100,43800,2019
Mississippi,500,600,14400,0,366500,5600,0,0,0,2166800,95100,14800,2019
Missouri,4900,5000,86200,0,764500,15900,0,0,0,4591200,219600,55900,2019
Montana,700,500,10500,0,129000,3900,0,0,0,717800,90900,16800,2019
Nebraska,1300,1100,18200,0,256900,7700,0,0,0,1476500,87000,32400,2019
Nevada,7900,3600,40100,0,181300,5700,0,0,0,2037600,95500,32000,2019
New Hampshire,1900,2200,21900,0,133100,1300,0,0,0,1156800,35000,15700,2019
New Jersey,20200,11700,99900,0,561100,3300,0,0,0,6384100,110900,51400,2019
New Mexico,1900,1600,26800,0,194100,6400,0,0,0,1490400,104300,31600,2019
New York,23000,28000,182800,0,1027800,7000,0,0,0,9935300,186100,107200,2019
North Carolina,11600,8100,126600,0,846400,20600,0,0,0,7311100,242600,96300,2019
North Dakota,200,200,4000,0,135800,4000,0,0,0,563900,56700,14000,2019
Ohio,10200,8600,114500,0,1127400,15800,0,0,0,8735800,231500,92200,2019
Oklahoma,3400,1600,28500,0,621500,15700,0,0,0,3228200,186900,62000,2019
Oregon,18800,10400,102000,0,222400,12100,0,0,0,3125800,243500,80100,2019
Pennsylvania,12000,11200,126300,0,931800,10500,0,0,0,8676900,234000,72900,2019
Rhode Island,1100,1300,13100,0,57700,500,0,0,0,792000,13100,7800,2019
South Carolina,3000,2600,46500,0,493800,13000,0,0,0,3954600,119000,59600,2019
South Dakota,300,400,6600,0,137000,4500,0,0,0,683200,63200,20000,2019
Tennessee,5700,3600,64300,0,611900,17400,0,0,0,5160900,172700,53000,2019
Texas,38400,18100,244600,0,3200700,47300,0,100,0,19293900,1070200,178000,2019
Utah,8000,4400,45300,0,230100,9200,0,0,0,2291100,183300,36300,2019
Vermont,1700,2000,13300,0,59100,600,0,0,0,509000,19400,7400,2019
Virginia,15000,9800,151000,0,603200,13600,0,0,0,6750300,178400,52200,2019
Washington,40400,16100,193400,0,408800,19600,0,0,0,5612100,308700,100300,2019
West Virginia,400,600,10900,0,177300,3100,0,0,0,1234300,56300,15400,2019
Wisconsin,4700,5300,76200,0,733700,10100,0,0,0,4519800,168800,45300,2019
Wyoming,200,200,4200,0,75100,3800,0,0,0,452800,75400,19100,2019
Alabama,2900,2100,36300,0,567600,15100,0,0,0,3863500,154100,41600,2020
Alaska,900,400,6200,0,64000,2700,0,0,0,460900,39600,11400,2020
Arizona,28800,11200,115400,0,584800,13800,0,0,0,5202200,226000,103400,2020
Arkansas,1300,1100,22400,0,392800,7200,0,0,0,2093700,111100,15700,2020
California,425300,265500,1228700,0,1745100,75300,0,14000,300,29642700,825900,116700,2020
Colorado,24700,10800,96500,0,447000,11400,0,0,0,4263300,249700,89600,2020
Connecticut,9000,6200,49600,0,199300,2000,0,0,0,2577600,53000,26100,2020
Delaware,1900,1500,14800,0,89700,1000,0,0,0,780600,17900,6600,2020
District of Columbia,2400,1600,14300,0,21900,200,0,0,0,274400,2300,1200,2020
Florida,58200,22400,248500,0,1513000,13100,0,0,0,14925500,433700,127300,2020
Georgia,23500,9400,109000,0,919400,21000,0,0,0,7665100,252800,97600,2020
Hawaii,10700,3200,26400,0,52700,900,0,100,0,948300,18000,6000,2020
Idaho,2300,1700,24900,0,156300,9900,0,0,0,1480700,155700,26900,2020
Illinois,26000,13000,190600,0,1154700,12100,0,0,0,8533600,213600,90600,2020
Indiana,7000,5300,75300,0,774400,13400,0,0,0,4916700,183700,70300,2020
Iowa,2300,2600,36400,0,459900,9500,0,0,0,2402200,125300,69100,2020
Kansas,3100,2400,34000,0,324700,10600,0,0,0,2086800,102900,27700,2020
Kentucky,2600,2100,41300,0,458800,10900,0,0,0,3281300,133700,36500,2020
Louisiana,2000,1200,21600,0,556600,7700,0,0,0,3039100,164900,28000,2020
Maine,1900,2800,22400,0,148500,1200,0,0,0,1001700,34600,10900,2020
Maryland,18000,11900,109700,0,406600,4100,0,0,0,4136000,111700,37900,2020
Massachusetts,21000,15600,122600,0,418900,2100,0,0,0,4697000,75500,36800,2020
Michigan,10600,12500,93400,0,1348900,11200,0,0,0,6728600,217400,62100,2020
Minnesota,10400,6700,83800,0,722800,9100,0,0,0,4162400,161700,43000,2020
Mississippi,800,700,15800,0,381000,5000,0,0,0,2197800,99600,13800,2020
Missouri,6700,5300,77600,0,744100,14000,0,0,0,4442300,212200,52100,2020
Montana,900,600,11200,0,130600,3600,0,0,0,714000,93100,16400,2020
Nebraska,1800,1300,20200,0,262800,7200,0,0,0,1482500,90400,31700,2020
Nevada,11000,4200,42900,0,183700,5100,0,0,0,2036400,99100,28900,2020
New Hampshire,2700,2500,23300,0,135900,1200,0,0,0,1159600,37600,15800,2020
New Jersey,30400,12800,104600,0,548400,2900,0,0,0,6227300,106700,47000,2020
New Mexico,2600,1900,28500,0,197900,6000,0,0,0,1490700,108100,30300,2020
New York,32600,32600,192700,0,1020500,6200,0,0,0,9890800,189900,102600,2020
North Carolina,16200,9300,133400,0,878800,19700,0,0,0,7376600,256300,93400,2020
North Dakota,200,300,4400,0,135600,3700,0,0,0,567200,57700,12500,2020
Ohio,14500,9500,124100,0,1153500,14100,0,0,0,8690900,240900,88900,2020
Oklahoma,3400,1800,30100,0,574100,14800,0,0,0,3126100,190800,60600,2020
Oregon,22800,11800,106100,0,222000,10900,0,0,0,2990200,246200,82600,2020
Pennsylvania,17500,12800,140800,0,953200,9600,0,0,0,8781500,241000,69500,2020
Rhode Island,1600,1600,14100,0,59100,500,0,0,0,785400,13300,7500,2020
South Carolina,4400,3000,49700,0,515600,12200,0,0,0,4004100,127200,56200,2020
South Dakota,400,500,7200,0,139400,4100,0,0,0,688400,65500,19500,2020
Tennessee,7800,4300,68700,0,638600,16500,0,0,0,5218400,181600,50900,2020
Texas,52200,20400,262300,0,3250000,43600,0,100,0,19609700,1107000,163600,2020
Utah,11200,5200,49800,0,231700,8700,0,0,0,2346000,191400,35700,2020
Vermont,2200,2300,13900,0,58800,500,0,0,0,501000,19700,6800,2020
Virginia,20500,11200,157800,0,618500,12200,0,0,0,6646500,183700,46800,2020
Washington,50500,18400,211300,0,424000,18700,0,0,0,5687600,326300,95300,2020
West Virginia,600,700,11900,0,178200,2800,0,0,0,1216500,57800,14200,2020
Wisconsin,6300,5900,82500,0,755700,8700,0,0,0,4494600,175200,41900,2020
Wyoming,300,300,4700,0,77100,3600,0,0,0,456200,77400,18700,2020
Alabama,4700,3300,42500,40500,449500,500,100,0,0,4051000,123500,32000,2021
Alaska,1300,500,7300,7600,50100,100,0,0,0,464200,31700,6300,2021
Arizona,40700,15500,132200,51000,460400,900,900,0,0,5395300,191800,70500,2021
Arkansas,2400,1800,26100,28700,290200,300,0,0,0,2241600,88800,11000,2021
California,563100,315300,1355900,163600,1343200,12600,1500,11800,0,30512600,710500,10400,2021
Colorado,37000,16100,113600,53800,346700,600,100,0,0,4456600,208400,53500,2021
Connecticut,13300,9200,55400,8800,140700,400,0,0,0,2578400,44300,21500,2021
Delaware,3000,2000,16700,4100,67400,100,0,0,0,796400,14600,5300,2021
District of Columbia,3700,2500,16100,300,17400,100,0,0,0,278900,2100,600,2021
Florida,95600,32200,287000,129300,1154600,600,100,0,0,15595900,336900,97400,2021
Georgia,34000,13600,128200,70200,745200,700,300,0,0,8123100,203200,81200,2021
Hawaii,14200,4500,28800,2800,42200,100,0,0,0,968200,15700,4300,2021
Idaho,3500,2500,30400,33400,132500,300,100,0,0,1545500,133500,29400,2021
Illinois,36500,18300,214300,48100,822300,800,100,0,0,8657800,169900,59600,2021
Indiana,10400,7500,88200,41100,587400,800,100,0,0,5149000,151600,61000,2021
Iowa,3700,3600,42500,31100,343600,300,0,0,0,2525400,100900,59600,2021
Kansas,4500,3300,38300,21400,260900,400,100,0,0,2158100,85900,19900,2021
Kentucky,4200,3100,48300,27100,365800,600,0,0,0,3422900,116200,28300,2021
Louisiana,3200,2000,26000,54400,413200,300,0,0,0,3185200,115000,20700,2021
Maine,3000,4200,25500,9100,112200,100,0,0,0,1044300,27400,8900,2021
Maryland,25600,17200,130900,27700,347200,400,0,0,0,4380600,89500,32100,2021
Massachusetts,30500,22200,138800,17500,306900,400,0,0,0,4816400,59700,30800,2021
Michigan,17500,17200,106400,52100,912200,500,100,0,0,7067400,173200,51600,2021
Minnesota,15000,8900,95200,40100,548700,300,0,0,0,4342800,128700,29800,2021
Mississippi,1300,1100,18700,27400,305000,200,0,0,0,2289900,76000,9600,2021
Missouri,10000,7200,85600,55800,602500,1800,100,0,0,4582100,172100,40700,2021
Montana,1600,1100,13900,27500,100500,100,0,0,0,761800,70900,12200,2021
Nebraska,2700,2000,23700,21600,202500,200,0,0,0,1574900,73800,27300,2021
Nevada,17400,6300,50200,21300,133600,300,100,0,0,2140700,84700,22800,2021
New Hampshire,4000,3500,27000,11300,102800,200,0,0,0,1187400,29300,12700,2021
New Jersey,47800,18500,121500,23900,412200,500,100,0,0,6346100,86400,38100,2021
New Mexico,4200,2800,32800,25200,156900,200,100,0,0,1569000,87600,24500,2021
New York,51900,44600,221600,43000,663700,900,100,0,0,10116400,152400,83200,2021
North Carolina,25200,13500,151600,61000,687700,800,200,0,0,7685800,210000,77000,2021
North Dakota,400,400,5400,16000,95700,100,0,0,0,607000,42800,9000,2021
Ohio,21200,13100,143700,54600,875100,1200,100,0,0,9019200,199200,68800,2021
Oklahoma,7100,6900,38700,50700,391100,2400,300,0,0,3429700,148500,48700,2021
Oregon,30300,16900,123200,43900,193700,300,100,0,0,3094700,217800,63900,2021
Pennsylvania,26800,17800,168200,58600,723000,1200,100,0,0,9035500,195000,51000,2021
Rhode Island,2500,2400,16300,2500,44100,100,0,0,0,796100,11300,6300,2021
South Carolina,7400,4700,57400,32100,411800,400,100,0,0,4200600,104900,46000,2021
South Dakota,700,700,8700,16900,105000,100,0,0,0,726200,51100,15700,2021
Tennessee,12200,6300,79800,38400,511000,500,100,0,0,5396100,150200,39600,2021
Texas,80900,30600,304700,376300,2422300,2200,1600,0,0,20599100,765100,131100,2021
Utah,16500,7500,58500,51600,190200,2600,700,0,0,2428900,153800,27400,2021
Vermont,3400,3200,15800,5600,42000,100,0,0,0,511900,15000,5400,2021
Virginia,30700,15800,176500,35300,506600,600,100,0,0,6661000,154300,32700,2021
Washington,66800,24300,240000,59000,359700,600,100,0,0,5792000,283600,64400,2021
West Virginia,1000,1000,14500,13900,129800,200,0,0,0,1268300,46100,10900,2021
Wisconsin,9300,7700,93500,39800,556500,700,100,0,0,4639100,143300,29900,2021
Wyoming,500,400,5700,17100,59400,100,0,0,0,482400,62100,15600,2021
Alabama,8700,4400,50800,48100,449800,100,100,0,0,4077100,126100,30300,2022
Alaska,2000,700,9000,8700,48600,0,0,0,0,457100,30500,5500,2022
Arizona,65800,20400,150800,61200,446000,600,800,0,0,5476100,198700,70100,2022
Arkansas,5100,2500,30600,33300,283900,200,0,0,0,2229500,89700,10600,2022
California,903600,361100,1514000,183900,1338000,10300,1500,14900,0,31059000,725300,8200,2022
Colorado,59900,24000,131800,62100,346400,300,100,0,0,4506300,206800,49400,2022
Connecticut,22000,13100,64500,10100,139800,200,0,0,0,2636300,44100,21200,2022
Delaware,5400,2800,19500,4700,66200,0,0,0,0,795400,14500,5100,2022
District of Columbia,5900,3200,17200,400,17800,100,0,0,0,272200,2000,600,2022
Florida,168000,45800,338700,150900,1137200,400,100,0,0,15846500,343500,97200,2022
Georgia,60100,18100,147200,82500,745000,300,300,0,0,8204500,205900,78500,2022
Hawaii,19800,5600,32600,3100,39900,0,0,0,0,960000,15500,4000,2022
Idaho,5900,3500,36500,40300,133300,100,100,0,0,1545500,136000,33000,2022
Illinois,66900,25700,244100,55400,807900,300,0,0,0,8606400,171300,59500,2022
Indiana,17700,10100,100900,49100,587100,300,0,0,0,5116800,153500,58900,2022
Iowa,6200,4900,48600,37000,338900,100,0,0,0,2521300,103000,58200,2022
Kansas,7600,4300,43500,25000,260100,200,100,0,0,2159200,87000,17600,2022
Kentucky,7600,4400,55800,32300,363800,300,0,0,0,3368800,115800,25800,2022
Louisiana,5900,2900,31400,60100,397500,100,0,0,0,3159000,115400,19900,2022
Maine,5000,5700,28900,10500,109100,0,0,0,0,1028100,26800,7900,2022
Maryland,46100,22900,146200,30300,326900,300,0,0,0,4373900,88400,31800,2022
Massachusetts,49400,30500,158600,19500,297000,200,0,0,0,4777600,59300,30200,2022
Michigan,33100,24300,122800,62800,905700,300,100,0,0,7071800,175400,49600,2022
Minnesota,24300,11900,105300,46900,531500,100,0,0,0,4180500,127300,25600,2022
Mississippi,2400,1600,22300,31600,302000,100,0,0,0,2275400,75400,9100,2022
Missouri,17900,10400,95100,61300,576700,1200,100,0,0,4444600,176200,38900,2022
Montana,3300,1700,17100,33200,98000,0,0,0,0,765400,69900,11000,2022
Nebraska,4600,2900,27300,25600,201800,100,0,0,0,1576900,75100,25900,2022
Nevada,32900,8800,59100,24700,130700,200,100,0,0,2157700,85200,21300,2022
New Hampshire,7000,4800,31100,12900,95400,100,0,0,0,1180700,29400,12300,2022
New Jersey,87000,26800,142600,25900,404200,300,0,0,0,6339500,85500,36900,2022
New Mexico,7100,3900,37600,28600,155900,100,100,0,0,1584500,88000,23600,2022
New York,84700,59800,259600,48400,633100,400,100,0,0,9987400,152000,80800,2022
North Carolina,45600,18800,175300,71300,675300,300,100,0,0,7700300,209600,73700,2022
North Dakota,600,600,6600,18300,93500,0,0,0,0,614300,43800,7800,2022
Ohio,34100,17800,165700,63400,868500,700,100,0,0,8868300,197000,62700,2022
Oklahoma,16300,11500,47000,60200,380800,2000,300,0,0,3538100,147500,46200,2022
Oregon,47000,22500,138900,50200,186300,100,100,0,0,3065400,216100,53200,2022
Pennsylvania,47400,25400,199600,68100,698500,500,100,0,0,8888900,191700,45100,2022
Rhode Island,4300,3400,18600,2800,43100,0,0,0,0,782500,11200,6100,2022
South Carolina,13500,6700,66800,38300,411400,100,100,0,0,4254700,107600,45500,2022
South Dakota,1200,1000,10300,20000,105700,0,0,0,0,739400,53000,14500,2022
Tennessee,22000,8900,94000,45700,519400,100,100,0,0,5536100,157700,38600,2022
Texas,149000,42800,361800,420800,2398800,1400,1400,0,0,21065800,771000,133200,2022
Utah,28000,10200,69300,61500,189900,2300,600,0,0,2454700,155000,26000,2022
Vermont,5300,4200,17800,6400,40000,0,0,0,0,501500,14700,5100,2022
Virginia,56600,21700,198400,40000,496200,300,0,0,0,6643300,153700,31900,2022
Washington,104100,31400,270200,67500,348300,100,100,0,0,5650700,277400,52700,2022
West Virginia,1900,1400,18300,15600,127500,100,0,0,0,1267500,45700,10900,2022
Wisconsin,15700,10000,105200,46500,549700,300,0,0,0,4577400,144500,26900,2022
Wyoming,800,600,6900,19100,58600,0,0,0,0,483000,61200,14200,2022
Alabama,13000,5800,63300,54200,441200,100,100,0,0,4102200,127000,29000,2023
Alaska,2700,900,10600,9600,46800,0,0,0,0,454300,29800,5100,2023
Arizona,89800,25600,175700,68600,437100,600,700,0,0,5469000,197700,64200,2023
Arkansas,7100,3200,37000,37000,276700,200,0,0,0,2246100,90700,10300,2023
California,1256600,410700,1703200,201600,1314600,10100,1500,16900,0,31191900,735300,7900,2023
Colorado,90100,37500,152700,68100,334300,300,100,0,0,4508800,203400,46500,2023
Connecticut,31600,18400,75300,10900,133600,100,0,0,0,2612600,42300,20900,2023
Delaware,8400,3800,22900,5100,63900,0,0,0,0,791300,14200,5100,2023
District of Columbia,8100,3700,18100,400,16800,100,0,0,0,262500,1800,600,2023
Florida,254900,57300,414500,170500,1101100,400,100,0,0,16136500,351800,96100,2023
Georgia,92400,22700,175300,92500,719400,300,200,0,0,8256400,206300,76900,2023
Hawaii,25600,7300,36400,3400,37300,0,0,0,0,951000,15400,3700,2023
Idaho,8500,4600,43700,45900,132900,100,100,0,0,1568600,138600,31600,2023
Illinois,99600,33400,285400,61500,772900,300,0,0,0,8560300,170200,59600,2023
Indiana,26100,12900,119100,56300,576300,300,0,0,0,5166200,156400,58500,2023
Iowa,9000,6100,57200,41700,331300,100,0,0,0,2545400,105000,57500,2023
Kansas,11300,5600,50400,27900,253500,200,100,0,0,2168600,87400,16100,2023
Kentucky,11600,5600,67100,36900,361200,300,0,0,0,3415000,117600,24400,2023
Louisiana,8200,4000,40200,64200,380100,100,0,0,0,3142800,115500,19100,2023
Maine,7400,7600,33600,12000,104500,0,0,0,0,1036100,26900,7900,2023
Maryland,72100,31300,168700,32100,309300,300,0,0,0,4327800,86900,31500,2023
Massachusetts,73800,43800,187300,21300,285000,200,0,0,0,4791300,58400,30000,2023
Michigan,50300,29100,148100,70400,873700,300,0,0,0,7129600,174500,49400,2023
Minnesota,37100,16100,124500,52700,516400,100,0,0,0,4219200,127900,24500,2023
Mississippi,3600,2000,28200,34900,295200,100,0,0,0,2275600,75200,8500,2023
Missouri,26900,13900,113900,70400,575500,900,100,0,0,4608600,178200,37600,2023
Montana,4600,2500,21100,37900,94500,0,0,0,0,780700,69600,10800,2023
Nebraska,6900,3800,32600,28900,197100,100,0,0,0,1600400,76100,25300,2023
Nevada,47400,10600,69600,27200,125600,200,100,0,0,2169300,85800,20300,2023
New Hampshire,9900,6600,36800,13900,89600,100,0,0,0,1185300,29200,12300,2023
New Jersey,134800,40900,174200,27800,392100,300,0,0,0,6433000,84600,36400,2023
New Mexico,10300,4900,44300,32100,151600,100,100,0,0,1597600,88500,22900,2023
New York,131300,92300,314000,54300,591100,400,100,0,0,9905500,150500,79100,2023
North Carolina,70200,23700,210600,80200,655000,300,100,0,0,7764000,209700,71700,2023
North Dakota,1000,800,8200,20400,89900,0,0,0,0,625300,44600,7200,2023
Ohio,50400,24000,199800,70300,833500,700,100,0,0,8881400,196200,60900,2023
Oklahoma,22800,33000,56400,63100,352400,1800,200,0,0,3567500,145700,45000,2023
Oregon,64400,28800,156900,55500,184600,100,100,0,0,3074300,217000,51000,2023
Pennsylvania,70200,38900,245400,73900,661700,500,100,0,0,8886400,192100,41800,2023
Rhode Island,6400,5100,22100,3100,41900,0,0,0,0,782000,11000,6000,2023
South Carolina,20900,9000,83100,44600,404600,100,100,0,0,4325000,110100,44900,2023
South Dakota,1700,1300,11900,21500,98800,0,0,0,0,718300,51200,13300,2023
Tennessee,33200,11000,113300,53100,509000,200,100,0,0,5620500,160700,37700,2023
Texas,230100,55300,445100,460700,2315400,1300,1300,0,0,21392800,772800,121800,2023
Utah,40000,13000,83200,68500,185200,2200,500,0,0,2499600,158000,26000,2023
Vermont,7800,5700,20300,7000,36600,0,0,0,0,496000,14700,5000,2023
Virginia,84900,26800,229400,44300,484800,300,0,0,0,6670000,152800,30200,2023
Washington,152100,41200,307200,73800,337700,100,100,0,0,5583000,274200,46700,2023
West Virginia,2800,1800,22400,17300,123400,100,0,0,0,1281500,46400,15200,2023
Wisconsin,24900,12500,123600,52900,536200,300,0,0,0,4604700,147500,26400,2023
Wyoming,1100,800,8400,21200,57700,0,0,0,0,489100,60900,13700,2023
