SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,NPOPCHG_2023,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RBIRTH2021,RBIRTH2022,RBIRTH2023,RDEATH2021,RDEATH2022,RDEATH2023,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RNETMIG2021,RNETMIG2022,RNETMIG2023
40,4,9,6,California,39538212,39503200,39145060,39040616,38965193,-35012,-358140,-104444,-75423,103133,412506,423922,414120,74587,345181,318145,302704,28546,67325,105777,111416,1383,44116,126517,150982,-67932,-458862,-332785,-338371,-66549,-414746,-206268,-187389,2991,-10719,-3953,550,10.48989514,10.84398119,10.61767079,8.777842002,8.138191451,7.761063025,1.712053134,2.705789741,2.856607769,1.121855716,3.236321702,3.87104504,-11.66871333,-8.5126846,-8.675533382,-10.54685762,-5.276362898,-4.804488343
40,4,8,8,Colorado,5773707,5785219,5811596,5841039,5877610,11512,26377,29443,36571,15593,62137,62682,62498,11914,46481,49599,45099,3679,15656,13083,17399,244,3913,10413,11931,7169,5404,6772,7236,7413,9317,17185,19167,420,1404,-825,5,10.7162182,10.75842503,10.66641726,8.016166508,8.51292433,7.696962338,2.700051695,2.245500696,2.969454926,0.674840463,1.787235248,2.03624155,0.931980031,1.162312215,1.234954644,1.606820493,2.949547463,3.271196193
40,1,1,9,Connecticut,3605912,3577586,3603691,3608706,3617176,-28326,26105,5015,8470,8465,33942,35572,34957,11938,34571,34833,32842,-3473,-629,739,2115,410,6217,15562,15264,-21420,19032,-10081,-9016,-21010,25249,5481,6248,-3843,1485,-1205,107,9.452914851,9.864127002,9.675497054,9.628092608,9.659202066,9.090101388,-0.175177757,0.204924937,0.585395665,1.731446928,4.315347588,4.224812971,5.300450045,-2.795464531,-2.495473909,7.031896973,1.519883057,1.729339062
40,3,5,10,Delaware,989946,991862,1004881,1019459,1031890,1916,13019,14578,12431,2579,10174,10883,10725,2959,11228,11488,10897,-380,-1054,-605,-172,62,939,2378,2277,2195,13284,12669,10320,2257,14223,15047,12597,39,-150,136,6,10.19059539,10.75214638,10.45653373,11.24631462,11.34987206,10.62422825,-1.055719239,-0.597725678,-0.167694527,0.940531656,2.349407708,2.220002545,13.30566828,12.5166721,10.06167161,14.24619994,14.86607981,12.28167416
40,3,5,11,District of Columbia,689548,670839,669037,670949,678972,-18709,-1802,1912,8023,2187,8508,8399,7627,2004,5837,5572,5020,183,2671,2827,2607,50,1745,4527,6969,-15475,-6551,-4917,-1509,-15425,-4806,-390,5460,-3467,333,-525,-44,12.69968266,12.53595187,11.29992051,8.712746553,8.316504799,7.437472267,3.986936105,4.219447069,3.862448247,2.604718646,6.756787011,10.32504865,-9.778516818,-7.338882645,-2.235686385,-7.173798172,-0.582095634,8.089362266
40,3,5,12,Florida,21538216,21591299,21830708,22245521,22610726,53083,239409,414813,365205,50294,207942,222003,223578,56383,250389,260220,231181,-6089,-42447,-38217,-7603,2840,46865,121233,178432,61782,244619,317923,194438,64622,291484,439156,372870,-5450,-9628,13874,-62,9.577724033,10.07359318,9.968644947,11.53281561,11.8077252,10.30763898,-1.955091574,-1.734132019,-0.338994031,2.158582859,5.501060447,7.955725766,11.26705175,14.42605265,8.66938333,13.42563461,19.92711309,16.6251091
40,3,5,13,Georgia,10713771,10732390,10790385,10913150,11029227,18619,57995,122765,116077,29847,121276,125599,125664,24771,109501,110380,97847,5076,11775,15219,27817,730,10161,27010,30119,11606,35341,80599,58206,12336,45502,107609,88325,1207,718,-63,-65,11.26955051,11.57405925,11.45400063,10.17536075,10.1716149,8.918541505,1.09418976,1.402444348,2.535459126,0.944209099,2.488995456,2.745281425,3.284056076,7.427269337,5.305350464,4.228265175,9.916264793,8.050631889
40,4,9,15,Hawaii,1455274,1451181,1446745,1439399,1435138,-4093,-4436,-7346,-4261,3836,15528,15746,15167,2843,12152,13375,12812,993,3376,2371,2355,119,2043,5917,4627,-4831,-9982,-15664,-11193,-4712,-7939,-9747,-6566,-374,127,30,-50,10.71662976,10.91144447,10.55265596,8.386687583,9.268421811,8.914131215,2.329942172,1.643022663,1.638524743,1.409973892,4.100280513,3.219301056,-6.8890648,-10.85462125,-7.787688939,-5.479090908,-6.75434074,-4.568387883
40,4,8,16,Idaho,1839117,1849339,1904537,1938996,1964726,10222,55198,34459,25730,5467,21850,22418,22456,3629,17141,18938,16817,1838,4709,3480,5639,58,698,1779,4664,8814,51524,28586,15389,8872,52222,30365,20053,-488,-1733,614,38,11.64130089,11.66530898,11.50491762,9.13242739,9.854475036,8.615879922,2.508873495,1.810833939,2.889037693,0.371882289,0.925710798,2.389514417,27.45109322,14.87485602,7.884270448,27.82297551,15.80056682,10.27378487
40,2,3,17,Illinois,12813469,12790357,12690341,12582515,12549689,-23112,-100016,-107826,-32826,33452,131888,129614,127235,35296,128385,127064,116782,-1844,3503,2550,10453,504,11447,31224,40492,-22545,-115656,-142403,-83839,-22041,-104209,-111179,-43347,773,690,803,68,10.35199271,10.25717078,10.12525603,10.07703949,10.05537324,9.293414935,0.274953222,0.201797533,0.831841091,0.898484021,2.470951443,3.222319857,-9.077930283,-11.26924476,-6.671838252,-8.179446262,-8.798293315,-3.449518395
40,2,3,18,Indiana,6785442,6789098,6813798,6832274,6862199,3656,24700,18476,29925,19436,77712,80234,79587,19149,77868,79739,72079,287,-156,495,7508,342,6065,15475,17869,1596,16132,5011,4599,1938,22197,20486,22468,1431,2659,-2505,-51,11.42580227,11.75928135,11.62322931,11.44873856,11.686733,10.52672856,-0.022936292,0.072548349,1.096500756,0.89172188,2.268051935,2.609665958,2.371847877,0.734423796,0.671657829,3.263569758,3.002475731,3.281323787
40,2,4,19,Iowa,3190427,3190904,3197944,3199693,3207004,477,7040,1749,7311,9104,35887,36848,36898,8036,35499,35708,33119,1068,388,1140,3779,199,3701,9355,7112,-1270,1805,-7990,-3603,-1071,5506,1365,3509,480,1146,-756,23,11.2342632,11.51925312,11.51857189,11.11280156,11.16287154,10.33886884,0.121461647,0.356381583,1.179703051,1.158581328,2.924517287,2.220176793,0.565047095,-2.497797234,-1.124760544,1.723628423,0.426720053,1.09541625
40,2,4,20,Kansas,2937835,2938124,2937946,2936716,2940546,289,-178,-1230,3830,8510,34168,34547,34768,6984,32824,33274,30329,1526,1344,1273,4439,135,2069,5518,3932,-1920,-4975,-7004,-4574,-1785,-2906,-1486,-642,548,1384,-1017,33,11.62954151,11.7613575,11.83135957,11.17209291,11.32797087,10.32079223,0.457448601,0.433386636,1.510567336,0.704212169,1.878576163,1.338038018,-1.693308623,-2.384477609,-1.556507095,-0.989096454,-0.505901446,-0.218469076
40,3,6,21,Kentucky,4506297,4508155,4507600,4511563,4526154,1858,-555,3963,14591,12579,51364,52384,52380,12785,58401,61410,54385,-206,-7037,-9026,-2005,122,1757,4436,7627,1010,3216,9400,8965,1132,4973,13836,16592,932,1509,-847,4,11.39427591,11.61615551,11.59142292,12.95532099,13.61767162,12.03511905,-1.561045082,-2.001516105,-0.443696124,0.389762144,0.983683297,1.687815629,0.713417789,2.08445063,1.983908104,1.103179933,3.068133928,3.671723733
40,3,7,22,Louisiana,4657785,4652022,4627047,4588023,4573749,-5763,-24975,-39024,-14274,13555,57028,56541,56209,14807,56872,56876,50094,-1252,156,-335,6115,193,3183,8225,9274,-5154,-28324,-47539,-29692,-4961,-25141,-39314,-20418,450,10,625,29,12.29175039,12.27142062,12.27033373,12.25812633,12.34412761,10.93543913,0.033624063,-0.07270699,1.334894603,0.686060207,1.785119375,2.024499191,-6.104922811,-10.31766443,-6.481715546,-5.418862604,-8.532545059,-4.457216355
40,1,1,23,Maine,1363177,1364517,1378787,1389338,1395722,1340,14270,10551,6384,2997,11590,12009,11945,3704,16116,17977,16998,-707,-4526,-5968,-5053,58,1012,2504,2209,1803,17938,13861,9216,1861,18950,16365,11425,186,-154,154,12,8.449665075,8.676631294,8.577912146,11.74933584,12.9885753,12.20655928,-3.299670762,-4.311944005,-3.628647139,0.737796467,1.809166855,1.5863213,13.0776611,10.01472116,6.618169806,13.81545757,11.82388801,8.204491106
40,3,5,24,Maryland,6177253,6173689,6175045,6163981,6180253,-3564,1356,-11064,16272,17156,67431,68904,67969,16929,58995,57559,53770,227,8436,11345,14199,508,9041,23536,32977,-5257,-17683,-45734,-30905,-4749,-8642,-22198,2072,958,1562,-211,1,10.92111953,11.16846662,11.01226694,9.55482562,9.329585658,8.711759677,1.366293905,1.838880962,2.300507265,1.464279658,3.81488782,5.342899365,-2.863937307,-7.412902769,-5.007196072,-1.399657649,-3.598014949,0.335703293
40,1,1,25,Massachusetts,7032933,6997713,6991951,6982740,7001399,-35220,-5762,-9211,18659,17113,66441,69069,68387,22133,61652,63566,61404,-5020,4789,5503,6983,908,16477,42932,50647,-27235,-26269,-56813,-39149,-26327,-9792,-13881,11498,-3873,-759,-833,178,9.498584098,9.884869726,9.780652209,8.813935774,9.097303118,8.781949321,0.684648323,0.787566609,0.998702888,2.355596246,6.144250345,7.243492073,-3.755486908,-8.130841677,-5.599057618,-1.399890662,-1.986591331,1.644434455
40,2,3,26,Michigan,10077674,10070627,10038117,10033281,10037261,-7047,-32510,-4836,3980,26588,102799,104411,101911,31057,115214,117927,105941,-4469,-12415,-13516,-4030,409,7044,18766,22817,-4859,-29881,-8588,-15051,-4450,-22837,10178,7766,1872,2742,-1498,244,10.22430839,10.40395891,10.15528131,11.45909461,11.75075099,10.55686488,-1.23478622,-1.346792087,-0.401583575,0.700590748,1.869924556,2.273680502,-2.971940963,-0.855745076,-1.49981002,-2.271350215,1.014179481,0.773870481
40,2,4,27,Minnesota,5706804,5710578,5717968,5714300,5737915,3774,7390,-3668,23615,16461,63012,64630,63754,12746,51396,53436,49911,3715,11616,11194,13843,295,5523,14231,14575,-1510,-10887,-28893,-4686,-1215,-5364,-14662,9889,1274,1138,-200,-117,11.02712454,11.30659288,11.13391602,8.994320012,9.3482763,8.716392418,2.032804523,1.958316583,2.417523597,0.966527151,2.489619733,2.545359129,-1.905229239,-5.054640077,-0.818356973,-0.938702089,-2.565020344,1.727002156
40,3,6,28,Mississippi,2961306,2958409,2949582,2938928,2939690,-2897,-8827,-10654,762,8503,35004,34786,34628,9676,41703,40733,36032,-1173,-6699,-5947,-1404,58,627,1555,4800,-2122,-3456,-5752,-2614,-2064,-2829,-4197,2186,340,701,-510,-20,11.84971338,11.81487337,11.78100023,14.11748935,13.83473918,12.25866352,-2.267775966,-2.019865806,-0.477663288,0.212254893,0.528147188,1.63303688,-1.169940848,-1.95363513,-0.889324668,-0.957685954,-1.425487942,0.743712213
40,2,4,29,Missouri,6154889,6154426,6170393,6177168,6196156,-463,15967,6775,18988,17239,68820,68857,68334,16745,75365,75735,68389,494,-6545,-6878,-55,270,3862,10127,7852,-1291,16811,4614,11171,-1021,20673,14741,19023,64,1839,-1088,20,11.16770964,11.15313381,11.04537471,12.22979421,12.26719998,11.0542648,-1.062084563,-1.114066171,-0.008890093,0.626702916,1.640323947,1.269181992,2.727991381,0.747354073,1.80565869,3.354694296,2.38767802,3.074840682
40,4,8,30,Montana,1084244,1087211,1106366,1122878,1132812,2967,19155,16512,9934,2812,10841,11219,11206,2518,12151,12896,11377,294,-1310,-1677,-171,44,712,1793,609,2746,20376,15837,9485,2790,21088,17630,10094,-117,-623,559,11,9.884312244,10.06529568,9.93576245,11.07870843,11.56984161,10.08737903,-1.194396185,-1.504545936,-0.151616579,0.649168003,1.608617092,0.539967815,18.57787532,14.20840428,8.409843551,19.22704332,15.81702138,8.949811366
40,2,4,31,Nebraska,1961965,1963273,1964253,1968060,1978379,1308,980,3807,10319,6046,24410,24174,24195,4462,19570,19473,18496,1584,4840,4701,5699,93,1580,4042,5441,-778,-6037,-4367,-834,-685,-4457,-325,4607,409,597,-569,13,12.43021689,12.29505383,12.26168706,9.965561017,9.904094613,9.373513692,2.464655867,2.390959214,2.888173363,0.804577742,2.055787523,2.757422578,-3.074199891,-2.221084639,-0.422659517,-2.269622149,-0.165297116,2.334763061
40,4,8,32,Nevada,3104617,3115840,3146632,3177421,3194176,11223,30792,30789,16755,8167,33361,33542,33055,7009,32390,33435,29322,1158,971,107,3733,137,3612,10179,4266,10289,25387,20526,8642,10426,28999,30705,12908,-361,822,-23,114,10.65425921,10.60775424,10.37573469,10.34415803,10.57391518,9.20397194,0.310101187,0.033839059,1.171762747,1.153538092,3.219138107,1.339067741,8.107661,6.491406698,2.712663717,9.261199092,9.710544804,4.051731458
40,1,1,33,New Hampshire,1377524,1378702,1387494,1399003,1402054,1178,8792,11509,3051,2994,12044,12332,12155,3481,13709,14674,14264,-487,-1665,-2342,-2109,88,1542,3834,859,1272,8461,10118,4298,1360,10003,13952,5157,305,454,-101,3,8.707987431,8.851256614,8.678866585,9.911806683,10.5322202,10.18472669,-1.203819252,-1.68096359,-1.505860109,1.114888461,2.751842188,0.613339893,6.117426242,7.262164646,3.068841512,7.232314702,10.01400683,3.682181405
40,1,2,34,New Jersey,9289039,9272392,9269175,9260817,9290841,-16647,-3217,-8358,30024,24722,98001,102468,102055,33966,83971,82566,76563,-9244,14030,19902,25492,901,14745,38635,49298,-9361,-33561,-65605,-44666,-8460,-18816,-26970,4632,1057,1569,-1290,-100,10.5709512,11.05969177,11.00225112,9.057594755,8.911606654,8.254033144,1.513356449,2.148085115,2.748217976,1.590480459,4.169996404,5.314673222,-3.62008238,-7.080952868,-4.815310847,-2.029601921,-2.910956465,0.499362375
40,4,8,35,New Mexico,2117525,2118488,2116950,2113476,2114371,963,-1538,-3474,895,5327,21433,21151,20728,5523,24640,25470,22344,-196,-3207,-4319,-1616,158,2259,5839,3642,702,-1206,-4496,-1088,860,1053,1343,2554,299,616,-498,-43,10.12079506,9.999465775,9.805463632,11.63516028,12.04134052,10.56991892,-1.51436522,-2.041874743,-0.764455289,1.066713761,2.760478496,1.722862724,-0.569480653,-2.125554259,-0.514682769,0.497233108,0.634924237,1.208179955
40,1,2,36,New York,20202320,20104710,19854526,19673200,19571216,-97610,-250184,-181326,-101984,53056,205414,210106,207450,72698,177088,176382,165914,-19642,28326,33724,41536,1343,28769,77285,73867,-72398,-295159,-298341,-216778,-71055,-266390,-221056,-142911,-6913,-12120,6006,-609,10.28117755,10.63081646,10.57220472,8.863432724,8.924469877,8.455419492,1.417744824,1.706346578,2.116785226,1.43991742,3.910419739,3.764459127,-14.77300517,-15.09527768,-11.04758445,-13.33308775,-11.18485794,-7.283125324
40,3,5,37,North Carolina,10439459,10453812,10567100,10695965,10835491,14353,113288,128865,139526,28675,116747,121639,121148,25861,115480,117926,108491,2814,1267,3713,12657,679,9920,26184,29448,12492,101909,98524,97264,13171,111829,124708,126712,-1632,192,444,157,11.10770075,11.44134206,11.2531173,10.98715413,11.09209796,10.07744205,0.120546625,0.3492441,1.175675254,0.943822038,2.462862245,2.735346834,9.695963715,9.267149397,9.03459571,10.63978575,11.73001164,11.76994254
40,2,4,38,North Dakota,779079,779563,777982,778912,783926,484,-1581,930,5014,2563,10019,9839,9649,1751,7766,7390,6945,812,2253,2449,2704,29,453,1260,2298,-448,-4008,-2727,-9,-419,-3555,-1467,2289,91,-279,-52,21,12.86511786,12.63926767,12.34804887,9.972103535,9.493260299,8.887677418,2.893014327,3.146007371,3.460371452,0.581684638,1.618607304,2.940803845,-5.146560774,-3.503128665,-0.011517509,-4.564876135,-1.884521361,2.929286337
40,2,3,39,Ohio,11799331,11798292,11765227,11759697,11785935,-1039,-33065,-5530,26238,32340,128271,128796,128826,33762,146812,149079,131288,-1422,-18541,-20283,-2462,518,9280,23737,28081,-2867,-27624,-4862,637,-2349,-18344,18875,28718,2732,3820,-4122,-18,10.8872533,10.94974845,10.94266656,12.46095713,12.67413234,11.1517924,-1.573703826,-1.724383892,-0.209125837,0.787658244,2.018029899,2.385240711,-2.344641308,-0.413348838,0.0541077,-1.556983064,1.604681061,2.439348411
40,3,7,40,Oklahoma,3959411,3965234,3991634,4019271,4053824,5823,26400,27637,34553,11579,47473,48121,48073,10353,50805,51669,45506,1226,-3332,-3548,2567,172,2188,5663,8380,3825,26348,26304,23587,3997,28536,31967,31967,600,1196,-782,19,11.93258453,12.01387359,11.90943498,12.77009999,12.89966614,11.27349548,-0.837515465,-0.885792554,0.6359395,0.549965137,1.413822783,2.076031559,6.622706321,6.567048292,5.843359951,7.172671458,7.980871075,7.91939151
40,4,9,41,Oregon,4237279,4245044,4256465,4239379,4233358,7765,11421,-17086,-6021,10281,39660,40521,39046,9546,41943,46369,43285,735,-2283,-5848,-4239,177,2609,7234,4304,6407,10253,-17575,-6051,6584,12862,-10341,-1747,446,842,-897,-35,9.330108337,9.539016959,9.216856371,9.86718946,10.91569007,10.21747754,-0.537081123,-1.376673112,-1.000621169,0.61377339,1.70295029,1.015964499,2.41204238,-4.137317022,-1.428346,3.02581577,-2.434366733,-0.412381501
